Target_index,Ping_index,Ping_date,Ping_time,Ping_milliseconds,Range,Depth
299,562,3/5/2019,10:12:33,233,3.296300402,3.492189201
300,562,3/5/2019,10:12:33,233,4.088785285,4.273210875
301,562,3/5/2019,10:12:33,233,4.161969406,4.341738461
302,564,3/5/2019,10:12:34,32,4.25936074,4.451556156
303,565,3/5/2019,10:12:34,431,4.210493735,4.405223458
304,565,3/5/2019,10:12:34,431,4.283838635,4.475570831
305,566,3/5/2019,10:12:34,833,4.015606303,4.201327183
306,566,3/5/2019,10:12:34,833,4.161660483,4.355335789
307,567,3/5/2019,10:12:35,232,4.112910452,4.304528023
308,567,3/5/2019,10:12:35,232,4.186342917,4.375322365
309,568,3/5/2019,10:12:35,632,4.064292324,4.252696936
310,568,3/5/2019,10:12:35,632,4.137658081,4.327966362
311,569,3/5/2019,10:12:36,33,4.271441312,4.455920733
312,572,3/5/2019,10:12:37,243,4.02794759,4.215834142
313,572,3/5/2019,10:12:37,243,4.186168132,4.384089435
314,573,3/5/2019,10:12:37,632,4.064517236,4.260236452
315,573,3/5/2019,10:12:37,632,4.174056949,4.3711811
316,575,3/5/2019,10:12:38,432,3.991161508,4.177753585
317,575,3/5/2019,10:12:38,432,4.076495459,4.269066186
318,575,3/5/2019,10:12:38,432,4.186278608,4.374900037
319,598,3/5/2019,10:12:47,642,4.283637478,4.467599658
320,600,3/5/2019,10:12:48,432,4.210329429,4.409008695
321,602,3/5/2019,10:12:49,232,4.137479894,4.333159263
322,602,3/5/2019,10:12:49,232,4.222701917,4.419823236
323,603,3/5/2019,10:12:49,632,4.125244188,4.312249468
324,604,3/5/2019,10:12:50,31,4.088993203,4.282223725
325,604,3/5/2019,10:12:50,31,4.235136864,4.434474977
326,604,3/5/2019,10:12:50,31,4.271616942,4.458897366
327,605,3/5/2019,10:12:50,432,4.174289199,4.370520459
328,606,3/5/2019,10:12:50,833,3.930288231,4.12380814
329,606,3/5/2019,10:12:50,833,4.101028057,4.292617093
330,607,3/5/2019,10:12:51,232,3.711071057,3.892790162
331,607,3/5/2019,10:12:51,232,3.906054647,4.097689699
332,607,3/5/2019,10:12:51,232,4.003730852,4.193696113
333,608,3/5/2019,10:12:51,633,3.698861384,3.890177907
334,608,3/5/2019,10:12:51,633,3.906112293,4.095384348
